01;administracao
02;agronomia
03;arquitetura
04;biomedicina
05;biotecnologia
06;ciencia da computacao
07;ciencias ambientais
08;ciencias biologicas
09;ciencias contabeis
10;ciencias economicas
11;comunicacao social
12;engenharia ambiental
13;engenharia civil
14;engenharia de alimentos
15;engenharia de computacao
16;engenharia de materiais
17;engenharia de producao
18;engenharia eletrica
19;engenharia florestal
20;engenharia mecanica
21;engenharia quimica
22;farmacia
23;gestao da informacao
24;instituto de fisica
25;inteligencia artificial
26;medicina
27;nutricao
28;psicologia
29;quimica bacharelado
30;quimica licenciatura
31;relacoes internacionais
32;relacoes publicas
33;sistemas de informacao
34;zootecnia
