01;algebra linear
02;algebra linear 2
03;algebra linear i
04;analise real
05;analise real 2
06;analise real i
07;bioestatistica
08;bioestatistica 1
09;bioestatistica 2
10;calculo 1a
11;calculo 1b
12;calculo 1c
13;calculo 2a
14;calculo 2b
15;calculo 3
16;calculo 3a
17;calculo 3b
18;calculo diferencial
19;calculo integral
20;calculo numerico
21;calculo vetorial
22;edo
23;educacao matematica inclusiva
24;equacoes diferenciais parciais
25;estatistica
26;estatistica 1
27;estatistica 2
28;estatistica descritiva e probabilidade
29;estatistica i
30;estatistica ii
31;estatistica inferencial
32;fundamentos de analise
33;geometria analitica
34;geometria diferencial
35;geometria espacial
36;inferencia
37;introducao a analise no rn
38;introducao a estatistica
39;introducao a probabilidade
40;introducao a teoria qualitativa das edos
41;matematica discreta
42;matematica financeira
43;nocoes de atuaria
44;probabilidade
45;probabilidade e estatistica
46;probabilidade e estatistica a
47;probabilidade e estatistica b
48;teoria de grupos
